,0
0,"2018-06-24 15:58:31 50371,33.02"
1,"2018-06-24 15:58:34 51951,34.19"
2,"2018-06-24 15:58:38 50141,32.86"
3,"2018-06-24 15:58:41 50661,33.24"
4,"2018-06-24 15:58:45 50601,33.20"
5,"2018-06-24 15:58:48 50271,32.95"
6,"2018-06-24 15:58:52 50131,32.84"
7,"2018-06-24 15:58:55 50311,32.98"
8,"2018-06-24 15:58:59 50151,32.86"
9,"2018-06-24 15:59:02 50101,32.83"
10,"2018-06-24 15:59:06 50351,33.01"
11,"2018-06-24 15:59:09 50931,33.44"
12,"2018-06-24 15:59:13 50741,33.29"
13,"2018-06-24 15:59:16 50291,32.96"
14,"2018-06-24 15:59:20 50161,32.87"
15,"2018-06-24 15:59:23 50181,32.89"
16,"2018-06-24 15:59:27 49951,32.71"
17,"2018-06-24 15:59:30 50211,32.90"
18,"2018-06-24 15:59:34 50371,33.03"
19,"2018-06-24 15:59:37 50281,32.95"
20,"2018-06-24 15:59:41 49831,32.63"
21,"2018-06-24 15:59:44 50091,32.82"
22,"2018-06-24 15:59:48 50601,33.20"
23,"2018-06-24 15:59:51 50321,32.99"
24,"2018-06-24 15:59:55 50111,32.83"
25,"2018-06-24 15:59:58 49691,32.52"
26,"2018-06-24 16:00:02 49731,32.55"
27,"2018-06-24 16:00:05 50461,33.09"
28,"2018-06-24 16:00:09 49991,32.74"
29,"2018-06-24 16:00:13 50441,33.08"
30,"2018-06-24 16:00:16 50081,32.81"
31,"2018-06-24 16:00:20 49901,32.68"
32,"2018-06-24 16:00:23 49921,32.70"
33,"2018-06-24 16:00:27 50461,33.09"
34,"2018-06-24 16:00:30 50401,33.04"
35,"2018-06-24 16:00:34 50241,32.93"
36,"2018-06-24 16:00:37 50091,32.82"
37,"2018-06-24 16:00:41 50271,32.95"
38,"2018-06-24 16:00:44 50321,32.99"
39,"2018-06-24 16:00:48 50011,32.76"
40,"2018-06-24 16:00:51 50141,32.86"
41,"2018-06-24 16:00:55 50121,32.84"
42,"2018-06-24 16:00:58 49571,32.44"
43,"2018-06-24 16:01:02 49581,32.45"
44,"2018-06-24 16:01:05 50731,33.29"
45,"2018-06-24 16:01:09 49981,32.74"
46,"2018-06-24 16:01:12 49651,32.49"
47,"2018-06-24 16:01:16 49871,32.66"
48,"2018-06-24 16:01:19 50241,32.93"
49,"2018-06-24 16:01:23 49961,32.72"
50,"2018-06-24 16:01:26 49891,32.67"
51,"2018-06-24 16:01:30 50301,32.98"
52,"2018-06-24 16:01:33 50151,32.86"
53,"2018-06-24 16:01:37 49711,32.54"
54,"2018-06-24 16:01:40 50071,32.81"
55,"2018-06-24 16:01:44 49971,32.73"
56,"2018-06-24 16:01:47 49921,32.69"
57,"2018-06-24 16:01:51 50141,32.86"
58,"2018-06-24 16:01:54 50091,32.82"
59,"2018-06-24 16:01:58 50171,32.88"
60,"2018-06-24 16:02:01 49811,32.61"
61,"2018-06-24 16:02:05 50421,33.06"
62,"2018-06-24 16:02:08 50911,33.42"
63,"2018-06-24 16:02:12 50561,33.17"
64,"2018-06-24 16:02:15 50461,33.09"
65,"2018-06-24 16:02:19 50441,33.07"
66,"2018-06-24 16:02:22 50871,33.39"
67,"2018-06-24 16:02:26 50641,33.23"
68,"2018-06-24 16:02:29 51241,33.66"
69,"2018-06-24 16:02:33 50911,33.42"
70,"2018-06-24 16:02:37 51171,33.61"
71,"2018-06-24 16:02:40 51351,33.75"
72,"2018-06-24 16:02:44 51381,33.77"
73,"2018-06-24 16:02:47 51811,34.09"
74,"2018-06-24 16:02:51 51541,33.89"
75,"2018-06-24 16:02:54 51861,34.12"
76,"2018-06-24 16:02:58 51241,33.66"
77,"2018-06-24 16:03:01 51371,33.76"
78,"2018-06-24 16:03:05 51971,34.21"
79,"2018-06-24 16:03:08 51881,34.14"
80,"2018-06-24 16:03:12 52471,34.58"
81,"2018-06-24 16:03:15 52381,34.51"
82,"2018-06-24 16:03:19 52311,34.46"
83,"2018-06-24 16:03:22 52311,34.46"
84,"2018-06-24 16:03:26 52331,34.47"
85,"2018-06-24 16:03:29 52371,34.50"
86,"2018-06-24 16:03:33 52241,34.40"
87,"2018-06-24 16:03:36 52411,34.53"
88,"2018-06-24 16:03:40 52381,34.51"
89,"2018-06-24 16:03:43 52171,34.36"
90,"2018-06-24 16:03:47 52551,34.64"
91,"2018-06-24 16:03:50 52381,34.51"
92,"2018-06-24 16:03:54 52501,34.60"
93,"2018-06-24 16:03:57 52151,34.34"
94,"2018-06-24 16:04:01 52131,34.32"
95,"2018-06-24 16:04:04 53411,35.28"
96,"2018-06-24 16:04:08 52411,34.53"
97,"2018-06-24 16:04:11 52851,34.86"
98,"2018-06-24 16:04:15 52511,34.61"
99,"2018-06-24 16:04:18 53181,35.10"
100,"2018-06-24 16:04:22 52721,34.76"
101,"2018-06-24 16:04:25 52681,34.73"
102,"2018-06-24 16:04:29 52821,34.83"
103,"2018-06-24 16:04:32 52671,34.73"
104,"2018-06-24 16:04:36 52771,34.80"
105,"2018-06-24 16:04:39 52621,34.69"
106,"2018-06-24 16:04:43 53261,35.16"
107,"2018-06-24 16:04:46 52701,34.75"
108,"2018-06-24 16:04:50 52591,34.67"
109,"2018-06-24 16:04:53 52441,34.56"
110,"2018-06-24 16:04:57 52661,34.71"
111,"2018-06-24 16:05:00 52441,34.56"
112,"2018-06-24 16:05:04 53731,35.51"
113,"2018-06-24 16:05:08 53301,35.20"
114,"2018-06-24 16:05:11 52491,34.59"
115,"2018-06-24 16:05:15 52441,34.56"
116,"2018-06-24 16:05:18 52481,34.58"
117,"2018-06-24 16:05:22 53031,34.99"
118,"2018-06-24 16:05:25 52441,34.56"
119,"2018-06-24 16:05:29 52621,34.69"
120,"2018-06-24 16:05:32 52431,34.55"
121,"2018-06-24 16:05:36 52491,34.59"
122,"2018-06-24 16:05:39 52521,34.61"
123,"2018-06-24 16:05:43 51981,34.21"
124,"2018-06-24 16:05:46 52771,34.79"
125,"2018-06-24 16:05:50 52411,34.53"
126,"2018-06-24 16:05:53 52321,34.46"
127,"2018-06-24 16:05:57 51811,34.09"
128,"2018-06-24 16:06:00 51831,34.10"
129,"2018-06-24 16:06:04 52081,34.28"
130,"2018-06-24 16:06:07 52231,34.40"
131,"2018-06-24 16:06:11 52151,34.34"
132,"2018-06-24 16:06:14 52341,34.48"
133,"2018-06-24 16:06:18 52131,34.32"
134,"2018-06-24 16:06:21 52051,34.26"
135,"2018-06-24 16:06:25 52731,34.77"
136,"2018-06-24 16:06:28 52201,34.37"
137,"2018-06-24 16:06:32 52121,34.32"
138,"2018-06-24 16:06:35 52161,34.35"
139,"2018-06-24 16:06:39 52391,34.52"
140,"2018-06-24 16:06:42 52121,34.32"
141,"2018-06-24 16:06:46 51991,34.22"
142,"2018-06-24 16:06:49 51911,34.16"
143,"2018-06-24 16:06:53 52221,34.39"
144,"2018-06-24 16:06:56 52281,34.43"
145,"2018-06-24 16:07:00 51591,33.92"
146,"2018-06-24 16:07:03 52031,34.25"
147,"2018-06-24 16:07:07 52181,34.36"
148,"2018-06-24 16:07:10 52111,34.31"
149,"2018-06-24 16:07:14 51921,34.17"
150,"2018-06-24 16:07:17 52411,34.53"
151,"2018-06-24 16:07:21 51791,34.07"
152,"2018-06-24 16:07:24 52071,34.28"
153,"2018-06-24 16:07:28 52791,34.81"
154,"2018-06-24 16:07:31 52631,34.70"
155,"2018-06-24 16:07:35 52891,34.89"
156,"2018-06-24 16:07:38 52831,34.84"
157,"2018-06-24 16:07:42 52961,34.94"
158,"2018-06-24 16:07:46 52601,34.67"
159,"2018-06-24 16:07:49 52971,34.95"
160,"2018-06-24 16:07:53 52831,34.84"
161,"2018-06-24 16:07:56 53321,35.21"
162,"2018-06-24 16:08:00 52421,34.54"
163,"2018-06-24 16:08:03 52431,34.55"
164,"2018-06-24 16:08:07 53111,35.05"
165,"2018-06-24 16:08:10 53211,35.13"
166,"2018-06-24 16:08:14 52481,34.58"
167,"2018-06-24 16:08:17 52741,34.78"
168,"2018-06-24 16:08:21 53511,35.35"
169,"2018-06-24 16:08:24 53051,35.01"
170,"2018-06-24 16:08:28 52971,34.95"
171,"2018-06-24 16:08:31 52441,34.55"
172,"2018-06-24 16:08:35 53091,35.04"
173,"2018-06-24 16:08:38 52691,34.74"
174,"2018-06-24 16:08:42 52461,34.57"
175,"2018-06-24 16:08:45 52711,34.75"
176,"2018-06-24 16:08:49 52511,34.61"
177,"2018-06-24 16:08:52 52171,34.36"
178,"2018-06-24 16:08:56 52801,34.82"
179,"2018-06-24 16:08:59 52141,34.33"
180,"2018-06-24 16:09:03 52391,34.52"
181,"2018-06-24 16:09:06 52571,34.65"
182,"2018-06-24 16:09:10 52491,34.59"
183,"2018-06-24 16:09:13 52311,34.45"
184,"2018-06-24 16:09:17 52361,34.49"
185,"2018-06-24 16:09:20 52281,34.43"
186,"2018-06-24 16:09:24 53021,34.98"
187,"2018-06-24 16:09:27 52181,34.36"
188,"2018-06-24 16:09:31 52541,34.63"
189,"2018-06-24 16:09:34 52311,34.46"
190,"2018-06-24 16:09:38 52431,34.55"
191,"2018-06-24 16:09:41 52261,34.42"
192,"2018-06-24 16:09:45 52801,34.82"
193,"2018-06-24 16:09:48 52491,34.59"
194,"2018-06-24 16:09:52 52421,34.54"
195,"2018-06-24 16:09:55 52741,34.78"
196,"2018-06-24 16:09:59 51951,34.19"
197,"2018-06-24 16:10:02 52201,34.38"
198,"2018-06-24 16:10:06 52151,34.34"
199,"2018-06-24 16:10:09 52571,34.65"
200,"2018-06-24 16:10:13 52351,34.49"
201,"2018-06-24 16:10:16 52501,34.60"
202,"2018-06-24 16:10:20 52471,34.58"
203,"2018-06-24 16:10:24 52551,34.63"
204,"2018-06-24 16:10:27 52481,34.58"
205,"2018-06-24 16:10:31 51961,34.20"
206,"2018-06-24 16:10:34 52501,34.60"
207,"2018-06-24 16:10:38 52481,34.58"
208,"2018-06-24 16:10:41 52271,34.43"
209,"2018-06-24 16:10:45 52231,34.40"
210,"2018-06-24 16:10:48 52381,34.51"
211,"2018-06-24 16:10:52 51981,34.21"
212,"2018-06-24 16:10:55 52661,34.72"
213,"2018-06-24 16:10:59 51881,34.14"
214,"2018-06-24 16:11:02 52111,34.31"
215,"2018-06-24 16:11:06 52511,34.61"
216,"2018-06-24 16:11:09 52611,34.68"
217,"2018-06-24 16:11:13 52411,34.53"
218,"2018-06-24 16:11:16 52481,34.58"
219,"2018-06-24 16:11:20 52741,34.78"
220,"2018-06-24 16:11:23 52171,34.36"
221,"2018-06-24 16:11:27 52251,34.41"
222,"2018-06-24 16:11:30 52371,34.50"
223,"2018-06-24 16:11:34 52501,34.60"
224,"2018-06-24 16:11:37 52371,34.51"
225,"2018-06-24 16:11:41 52421,34.54"
226,"2018-06-24 16:11:44 51991,34.22"
227,"2018-06-24 16:11:48 52321,34.47"
228,"2018-06-24 16:11:51 52251,34.41"
229,"2018-06-24 16:11:55 51821,34.09"
230,"2018-06-24 16:11:58 51861,34.12"
231,"2018-06-24 16:12:02 51861,34.13"
232,"2018-06-24 16:12:05 52591,34.66"
233,"2018-06-24 16:12:09 52601,34.67"
234,"2018-06-24 16:12:12 52641,34.70"
235,"2018-06-24 16:12:16 52291,34.44"
236,"2018-06-24 16:12:19 52061,34.28"
237,"2018-06-24 16:12:23 52221,34.39"
238,"2018-06-24 16:12:26 52331,34.48"
239,"2018-06-24 16:12:30 52341,34.48"
240,"2018-06-24 16:12:33 52491,34.59"
241,"2018-06-24 16:12:37 52911,34.90"
242,"2018-06-24 16:12:40 52251,34.42"
243,"2018-06-24 16:12:44 52471,34.57"
244,"2018-06-24 16:12:47 52351,34.49"
245,"2018-06-24 16:12:51 52441,34.55"
246,"2018-06-24 16:12:55 52571,34.65"
247,"2018-06-24 16:12:58 51821,34.09"
248,"2018-06-24 16:13:02 51971,34.21"
249,"2018-06-24 16:13:05 52051,34.26"
250,"2018-06-24 16:13:09 52261,34.42"
251,"2018-06-24 16:13:12 52171,34.35"
252,"2018-06-24 16:13:16 52691,34.74"
253,"2018-06-24 16:13:19 52191,34.37"
254,"2018-06-24 16:13:23 52031,34.25"
255,"2018-06-24 16:13:26 52041,34.25"
256,"2018-06-24 16:13:30 52461,34.57"
257,"2018-06-24 16:13:33 52111,34.31"
258,"2018-06-24 16:13:37 52341,34.48"
259,"2018-06-24 16:13:40 52661,34.72"
260,"2018-06-24 16:13:44 52251,34.41"
261,"2018-06-24 16:13:47 52231,34.40"
262,"2018-06-24 16:13:51 51861,34.12"
263,"2018-06-24 16:13:54 52711,34.75"
264,"2018-06-24 16:13:58 51821,34.09"
265,"2018-06-24 16:14:01 51821,34.09"
266,"2018-06-24 16:14:05 52501,34.60"
267,"2018-06-24 16:14:08 52381,34.51"
268,"2018-06-24 16:14:12 52201,34.38"
269,"2018-06-24 16:14:15 52341,34.48"
270,"2018-06-24 16:14:19 52521,34.61"
271,"2018-06-24 16:14:22 52221,34.39"
272,"2018-06-24 16:14:26 52291,34.45"
273,"2018-06-24 16:14:29 52301,34.45"
274,"2018-06-24 16:14:33 52441,34.55"
275,"2018-06-24 16:14:36 52281,34.43"
276,"2018-06-24 16:14:40 52151,34.34"
277,"2018-06-24 16:14:43 52361,34.49"
278,"2018-06-24 16:14:47 53031,34.99"
279,"2018-06-24 16:14:50 53661,35.46"
280,"2018-06-24 16:14:54 53271,35.17"
281,"2018-06-24 16:14:57 52201,34.38"
282,"2018-06-24 16:15:01 52281,34.43"
283,"2018-06-24 16:15:04 53751,35.52"
284,"2018-06-24 16:15:08 54371,35.99"
285,"2018-06-24 16:15:11 54271,35.91"
286,"2018-06-24 16:15:15 54201,35.86"
287,"2018-06-24 16:15:18 54211,35.87"
288,"2018-06-24 16:15:22 54281,35.93"
289,"2018-06-24 16:15:25 54121,35.80"
290,"2018-06-24 16:15:29 54091,35.78"
291,"2018-06-24 16:15:33 54231,35.88"
292,"2018-06-24 16:15:36 53941,35.67"
293,"2018-06-24 16:15:40 54011,35.72"
294,"2018-06-24 16:15:43 53851,35.60"
295,"2018-06-24 16:15:47 54061,35.76"
296,"2018-06-24 16:15:50 54211,35.87"
297,"2018-06-24 16:15:54 54041,35.74"
298,"2018-06-24 16:15:57 53671,35.47"
299,"2018-06-24 16:16:01 53771,35.54"
300,"2018-06-24 16:16:04 54211,35.87"
301,"2018-06-24 16:16:08 54061,35.76"
302,"2018-06-24 16:16:11 53791,35.56"
303,"2018-06-24 16:16:15 53891,35.63"
304,"2018-06-24 16:16:18 53681,35.48"
305,"2018-06-24 16:16:22 53791,35.55"
306,"2018-06-24 16:16:25 54121,35.80"
