Time, TRD, pH, ORP, DO,DO,EC, EC, 
2018-06-05 19:26:07, 26.471, 8.452, 248.2, 6.43,88.9, 53391,35.24,
2018-06-05 19:26:16, 26.470, 8.448, 248.2, 6.43,88.9, 53391,35.24,
2018-06-05 19:26:25, 26.468, 8.450, 248.3, 6.43,88.8, 53381,35.24,
2018-06-05 19:26:34, 26.467, 8.448, 248.2, 6.44,88.9, 53381,35.24,
2018-06-05 19:26:43, 26.467, 8.449, 248.2, 6.43,88.8, 53381,35.24,
2018-06-05 19:26:52, 26.466, 8.449, 248.0, 6.43,88.9, 53391,35.24,
2018-06-05 19:27:01, 26.466, 8.446, 248.4, 6.42,88.7, 53391,35.24,
2018-06-05 19:27:10, 26.466, 8.449, 248.6, 6.43,88.8, 53661,35.44,
2018-06-05 19:27:19, 26.466, 8.446, 248.2, 6.41,88.6, 53381,35.24,
2018-06-05 19:27:28, 26.466, 8.448, 248.2, 6.44,88.9, 53381,35.24,
2018-06-05 19:27:37, 26.465, 8.448, 249.0, 6.44,89.0, 53381,35.24,
2018-06-05 19:27:46, 26.465, 8.440, 248.7, 6.43,88.9, 53381,35.24,
2018-06-05 19:27:55, 26.465, 8.439, 248.2, 6.43,88.9, 53371,35.23,
2018-06-05 19:28:04, 26.464, 8.437, 248.2, 6.44,89.0, 53371,35.23,
2018-06-05 19:28:13, 26.464, 8.436, 249.0, 6.42,88.7, 53361,35.22,
2018-06-05 19:28:22, 26.463, 8.437, 248.2, 6.41,88.6, 53361,35.23,
2018-06-05 19:28:31, 26.462, 8.439, 249.2, 6.43,88.9, 53361,35.23,
2018-06-05 19:28:40, 26.462, 8.441, 248.4, 6.42,88.7, 53361,35.23,
2018-06-05 19:28:50, 26.462, 8.446, 248.1, 6.43,88.8, 53371,35.23,
2018-06-05 19:28:59, 26.462, 8.443, 248.4, 6.44,89.0, 53381,35.24,
2018-06-05 19:29:08, 26.461, 8.444, 248.4, 6.42,88.8, 53381,35.24,
2018-06-05 19:29:17, 26.461, 8.442, 249.0, 6.44,89.1, 53381,35.24,
2018-06-05 19:29:26, 26.461, 8.447, 248.4, 6.42,88.7, 53721,35.49,
2018-06-05 19:29:35, 26.461, 8.447, 248.4, 6.42,88.8, 53371,35.23,
2018-06-05 19:29:44, 26.461, 8.446, 248.4, 6.42,88.7, 53901,35.63,
2018-06-05 19:29:53, 26.460, 8.444,Error 255, 6.42,88.7, 53591,35.39,
2018-06-05 19:30:02, 26.461, 8.439, 248.2, 6.42,88.7, 53441,35.28,
2018-06-05 19:30:11, 26.460, 8.437, 248.4, 6.42,88.7, 53451,35.29,
2018-06-05 19:30:20, 26.461, 8.443, 248.1, 6.41,88.6, 53371,35.23,
2018-06-05 19:30:29, 26.460, 8.448, 248.3, 6.42,88.8, 53431,35.27,
2018-06-05 19:30:38, 26.459, 8.447, 248.4, 6.41,88.5, 53421,35.27,
2018-06-05 19:30:47, 26.458, 8.447, 248.5, 6.41,88.6, 53371,35.23,
2018-06-05 19:30:56, 26.458, 8.439, 248.7, 6.41,88.5, 53361,35.23,
2018-06-05 19:31:05, 26.458, 8.440, 248.2, 6.41,88.6, 53361,35.22,
2018-06-05 19:31:14, 26.457, 8.448, 248.4, 6.41,88.6, 53361,35.22,
2018-06-05 19:31:23, 26.455, 8.446, 248.4, 6.42,88.7, 53361,35.23,
2018-06-05 19:31:32, 26.455, 8.440, 248.6, 6.44,89.0, 53361,35.22,
2018-06-05 19:31:41, 26.454, 8.439, 248.4, 6.41,88.7, 53371,35.23,
2018-06-05 19:31:50, 26.455, 8.446, 249.6, 6.42,88.7, 53361,35.22,
2018-06-05 19:31:59, 26.454, 8.446, 248.6, 6.41,88.6, 53361,35.23,
2018-06-05 19:32:08, 26.453, 8.445, 248.6, 6.41,88.6, 53361,35.22,
2018-06-05 19:32:17, 26.452, 8.448, 248.7, 6.43,88.8, 53361,35.22,
2018-06-05 19:32:26, 26.452, 8.447, 248.9, 6.43,88.8, 53361,35.22,
2018-06-05 19:32:35, 26.452, 8.446, 248.9,Error 254, 53361,35.22,
2018-06-05 19:32:44, 26.451, 8.437, 249.5, 6.44,89.0, 53361,35.22,
2018-06-05 19:32:53, 26.451, 8.440, 248.8, 6.42,88.7, 53361,35.22,
2018-06-05 19:33:02, 26.451, 8.445, 248.7, 6.42,88.8, 53371,35.23,
2018-06-05 19:33:11, 26.452, 8.445, 248.7, 6.42,88.8, 53361,35.23,
2018-06-05 19:33:21, 26.452, 8.438, 248.8, 6.42,88.8, 53381,35.24,
2018-06-05 19:33:30, 26.452, 8.439, 248.7, 6.41,88.6, 53361,35.23,
2018-06-05 19:33:39, 26.453, 8.446, 248.9,Error 254, 53361,35.23,
2018-06-05 19:33:48, 26.453, 8.448, 248.7, 6.43,88.8, 53361,35.22,
2018-06-05 19:33:57, 26.452, 8.448, 249.0, 6.42,88.8, 53371,35.23,
2018-06-05 19:34:06, 26.452, 8.440, 249.0, 6.42,88.7, 53381,35.24,
2018-06-05 19:34:15, 26.452, 8.440, 249.0, 6.43,88.9, 53381,35.24,
2018-06-05 19:34:24, 26.453, 8.438, 249.0, 6.43,88.8, 53361,35.23,
2018-06-05 19:34:33, 26.452, 8.445, 249.0, 6.42,88.7, 53361,35.22,
2018-06-05 19:34:42, 26.453, 8.450, 249.1,Error 255, 53361,35.22,
2018-06-05 19:34:51, 26.452, 8.447, 249.0, 6.41,88.6, 53371,35.23,
2018-06-05 19:35:00, 26.453, 8.441, 249.0, 6.42,88.7, 53361,35.23,
2018-06-05 19:35:09, 26.453, 8.437, 249.4, 6.42,88.7, 53381,35.24,
2018-06-05 19:35:18, 26.452, 8.442, 249.4, 6.42,88.7, 53371,35.23,
2018-06-05 19:35:27, 26.452, 8.444, 249.4, 6.42,88.7, 53351,35.21,
2018-06-05 19:35:36, 26.452, 8.444, 249.4, 6.42,88.7, 53361,35.22,
2018-06-05 19:35:45, 26.451, 8.443, 249.9, 6.42,88.7, 53351,35.21,
2018-06-05 19:35:54, 26.449, 8.437, 250.0, 6.42,88.7, 53361,35.22,
2018-06-05 19:36:03, 26.450, 8.435, 249.6, 6.42,88.7, 53341,35.21,
2018-06-05 19:36:12, 26.449, 8.436, 249.7, 6.41,88.6, 53361,35.22,
2018-06-05 19:36:21, 26.448, 8.444, 249.7, 6.41,88.6, 53351,35.22,
2018-06-05 19:36:30, 26.448, 8.444, 250.6, 6.40,88.5, 53341,35.21,
2018-06-05 19:36:39, 26.447, 8.445, 249.7, 6.43,88.8, 53381,35.24,
2018-06-05 19:36:48, 26.447, 8.442, 249.9, 6.42,88.7, 53351,35.21,
2018-06-05 19:36:57, 26.447, 8.436, 249.9, 6.42,88.7, 53341,35.21,
2018-06-05 19:37:06, 26.445, 8.437, 250.4, 6.43,88.8, 53361,35.22,
2018-06-05 19:37:15, 26.445, 8.442, 250.2, 6.40,88.5, 53351,35.21,
2018-06-05 19:37:24, 26.445, 8.447, 249.8, 6.40,88.4, 53351,35.22,
2018-06-05 19:37:33, 26.445, 8.436, 250.6, 6.42,88.7, 53341,35.21,
2018-06-05 19:37:42, 26.444, 8.439, 249.9, 6.42,88.7, 53351,35.22,
2018-06-05 19:37:51, 26.443, 8.438, 249.9, 6.42,88.8, 53341,35.21,
2018-06-05 19:38:01, 26.442, 8.441, 250.7, 6.41,88.6, 53341,35.21,
2018-06-05 19:38:10, 26.443, 8.444, 251.0, 6.41,88.6, 53371,35.23,
2018-06-05 19:38:19, 26.444, 8.444, 251.1, 6.41,88.6, 53351,35.22,
2018-06-05 19:38:28, 26.444, 8.439, 250.3, 6.41,88.6, 53361,35.23,
2018-06-05 19:38:37, 26.444, 8.437, 251.2, 6.40,88.5, 53351,35.22,
2018-06-05 19:38:46, 26.444, 8.440, 250.7, 6.41,88.6, 53371,35.23,
2018-06-05 19:38:55, 26.444, 8.444, 251.0, 6.40,88.5, 53351,35.21,
2018-06-05 19:39:04, 26.444, 8.443,Error 254, 6.41,88.6, 53351,35.21,
2018-06-05 19:39:13, 26.445, 8.440, 251.4, 6.41,88.6, 53351,35.21,
2018-06-05 19:39:22, 26.444, 8.439, 251.3, 6.41,88.6, 53351,35.21,
2018-06-05 19:39:31, 26.442, 8.438, 251.4, 6.41,88.6, 53361,35.22,
2018-06-05 19:39:40, 26.443, 8.438, 250.7, 6.41,88.6, 53361,35.22,
2018-06-05 19:39:49, 26.442, 8.438, 251.3, 6.40,88.4, 53361,35.22,
2018-06-05 19:39:58, 26.444, 8.437, 250.8, 6.41,88.6, 53351,35.22,
2018-06-05 19:40:07, 26.442, 8.444,Error 254, 6.40,88.5, 53351,35.22,
2018-06-05 19:40:16, 26.443, 8.443, 250.7, 6.40,88.4, 53351,35.22,
2018-06-05 19:40:25, 26.444, 8.442, 251.4, 6.41,88.6, 53361,35.22,
2018-06-05 19:40:34, 26.444, 8.437, 250.8, 6.40,88.5, 53341,35.21,
2018-06-05 19:40:43, 26.445, 8.436, 250.8, 6.41,88.5, 53361,35.22,
2018-06-05 19:40:52, 26.445, 8.435, 250.7, 6.41,88.6, 53351,35.21,
2018-06-05 19:41:01, 26.444, 8.443, 250.6, 6.39,88.3, 53341,35.21,
2018-06-05 19:41:10, 26.444, 8.444,Error 255, 6.41,88.5, 53351,35.21,
2018-06-05 19:41:19, 26.444, 8.437, 250.9, 6.41,88.5, 53341,35.21,
2018-06-05 19:41:28, 26.444, 8.436, 251.6, 6.41,88.6, 53351,35.21,
2018-06-05 19:41:37, 26.443, 8.442, 250.7, 6.41,88.6, 53351,35.22,
2018-06-05 19:41:46, 26.443, 8.444, 250.7, 6.40,88.4, 53341,35.21,
2018-06-05 19:41:55, 26.443, 8.437, 250.8, 6.39,88.4, 53351,35.21,
2018-06-05 19:42:04, 26.444, 8.437, 250.7, 6.40,88.5, 53341,35.21,
2018-06-05 19:42:13, 26.444, 8.442, 250.9, 6.40,88.5, 53361,35.22,
2018-06-05 19:42:22, 26.443, 8.445, 251.1, 6.40,88.5, 53351,35.21,
2018-06-05 19:42:32, 26.441, 8.439, 250.9, 6.38,88.2, 53351,35.22,
2018-06-05 19:42:41, 26.442, 8.434, 251.0, 6.40,88.4, 53351,35.22,
2018-06-05 19:42:50, 26.442, 8.442, 251.0, 6.40,88.4, 53341,35.21,
2018-06-05 19:42:59, 26.441, 8.435, 251.0, 6.39,88.4, 53341,35.21,
2018-06-05 19:43:08, 26.440, 8.433, 250.9, 6.40,88.4, 53341,35.21,
2018-06-05 19:43:17, 26.439, 8.440, 250.9, 6.40,88.4, 53341,35.21,
2018-06-05 19:43:26, 26.438, 8.440, 251.2, 6.39,88.3, 53341,35.21,
2018-06-05 19:43:35, 26.438, 8.441, 251.4, 6.40,88.5, 53351,35.22,
2018-06-05 19:43:44, 26.438, 8.431, 251.0, 6.39,88.3, 53341,35.21,
2018-06-05 19:43:53, 26.437, 8.435, 251.3,Error 254, 53331,35.20,
2018-06-05 19:44:02, 26.438, 8.438, 251.1, 6.40,88.5, 53341,35.21,
2018-06-05 19:44:11, 26.437, 8.439, 251.3, 6.39,88.3, 53341,35.21,
2018-06-05 19:44:20, 26.438, 8.431, 251.4, 6.39,88.3, 53351,35.22,
2018-06-05 19:44:29, 26.438, 8.438, 251.0, 6.39,88.4, 53341,35.21,
2018-06-05 19:44:38, 26.437, 8.439, 251.4, 6.38,88.2, 53331,35.20,
2018-06-05 19:44:47, 26.436, 8.441, 251.8, 6.37,88.1, 53331,35.20,
2018-06-05 19:44:56, 26.436, 8.435, 251.4,Error 254, 53351,35.22,
2018-06-05 19:45:05, 26.436, 8.441, 251.5, 6.38,88.2, 53351,35.21,
2018-06-05 19:45:14, 26.435, 8.443, 251.7, 6.37,88.1, 53331,35.20,
2018-06-05 19:45:23, 26.435, 8.434, 251.7, 6.38,88.2, 53341,35.21,
2018-06-05 19:45:32, 26.435, 8.432, 251.5, 6.39,88.3, 53331,35.20,
2018-06-05 19:45:41, 26.434, 8.441, 251.7, 6.39,88.3, 53341,35.21,
2018-06-05 19:45:50, 26.435, 8.438, 251.7, 6.39,88.3, 53341,35.21,
2018-06-05 19:45:59, 26.434, 8.434, 251.9,Error 255, 53331,35.20,
2018-06-05 19:46:08, 26.434, 8.433, 251.7, 6.37,88.0, 53351,35.22,
2018-06-05 19:46:17, 26.433, 8.440, 251.7, 6.40,88.4, 53341,35.21,
2018-06-05 19:46:26, 26.433, 8.442, 251.8, 6.38,88.1, 53341,35.21,
2018-06-05 19:46:35, 26.433, 8.435, 251.5, 6.38,88.2, 53351,35.21,
2018-06-05 19:46:44, 26.432, 8.434, 251.7, 6.39,88.4, 53341,35.21,
2018-06-05 19:46:53, 26.431, 8.431, 251.7, 6.37,88.0, 53331,35.20,
2018-06-05 19:47:02, 26.431, 8.435, 251.7, 6.39,88.3, 53341,35.21,
2018-06-05 19:47:12, 26.432, 8.438, 252.0, 6.39,88.3, 53331,35.20,
2018-06-05 19:47:21, 26.430, 8.439, 251.9, 6.38,88.2, 53341,35.21,
2018-06-05 19:47:30, 26.430, 8.438, 251.8, 6.38,88.1, 53341,35.21,
2018-06-05 19:47:39, 26.430, 8.439, 251.8, 6.38,88.2, 53341,35.21,
2018-06-05 19:47:48, 26.429, 8.436, 251.7, 6.39,88.3, 53351,35.22,
2018-06-05 19:47:57, 26.428, 8.431, 251.8, 6.37,88.1, 53351,35.21,
2018-06-05 19:48:06, 26.427, 8.436, 251.9, 6.37,88.0, 53351,35.21,
2018-06-05 19:48:15, 26.427, 8.438, 252.2, 6.36,88.0, 53331,35.20,
2018-06-05 19:48:24, 26.426, 8.440, 252.0, 6.39,88.3, 53341,35.21,
2018-06-05 19:48:33, 26.427, 8.431, 252.0, 6.36,87.9, 53341,35.21,
2018-06-05 19:48:42, 26.427, 8.429, 252.0, 6.38,88.1, 53341,35.21,
2018-06-05 19:48:51, 26.427, 8.435, 252.0, 6.37,88.1, 53341,35.21,
2018-06-05 19:49:00, 26.426, 8.438, 252.1, 6.37,88.1, 53341,35.21,
2018-06-05 19:49:09, 26.427, 8.439, 252.1, 6.37,88.0, 53341,35.21,
2018-06-05 19:49:18, 26.427, 8.434, 252.1, 6.37,88.0, 53351,35.21,
2018-06-05 19:49:27, 26.427, 8.433, 252.0, 6.38,88.1, 53341,35.21,
2018-06-05 19:49:36, 26.426, 8.433, 252.2, 6.38,88.2, 53351,35.21,
2018-06-05 19:49:45, 26.428, 8.433, 252.2, 6.37,88.1, 53351,35.21,
2018-06-05 19:49:54, 26.428, 8.434, 252.4, 6.38,88.1, 53351,35.21,
2018-06-05 19:50:03, 26.429, 8.442, 252.2, 6.37,88.0, 53361,35.22,
2018-06-05 19:50:12, 26.429, 8.441, 252.5, 6.36,87.9, 53351,35.22,
2018-06-05 19:50:21, 26.431, 8.433,Error 254, 6.36,87.9, 53371,35.23,
2018-06-05 19:50:32, 26.430, 8.431, 252.3, 6.37,88.0, 53361,35.22,
2018-06-05 19:50:41, 26.430, 8.432, 252.5, 6.37,88.1, 53351,35.21,
2018-06-05 19:50:50, 26.431, 8.437, 252.1, 6.37,88.0, 53361,35.22,
2018-06-05 19:50:59, 26.431, 8.436, 252.2, 6.36,88.0, 53351,35.21,
2018-06-05 19:51:08, 26.431, 8.429, 252.0, 6.36,87.9, 53351,35.22,
2018-06-05 19:51:18, 26.430, 8.434, 252.3, 6.36,87.8, 53341,35.21,
2018-06-05 19:51:27, 26.431, 8.436, 252.1, 6.36,87.9, 53361,35.22,
2018-06-05 19:51:36, 26.431, 8.438, 252.1, 6.34,87.6, 53331,35.20,
2018-06-05 19:51:45, 26.431, 8.435, 251.9, 6.36,87.8, 53351,35.21,
2018-06-05 19:51:54, 26.430, 8.434, 251.9, 6.36,87.9, 53351,35.21,
2018-06-05 19:52:03, 26.429, 8.431, 252.5, 6.36,87.9, 53341,35.21,
2018-06-05 19:52:12, 26.429, 8.431, 252.1, 6.37,88.0, 53341,35.21,
2018-06-05 19:52:21, 26.428, 8.430, 251.8, 6.36,87.9, 53341,35.21,
2018-06-05 19:52:30, 26.428, 8.430, 252.0, 6.35,87.8, 53351,35.22,
2018-06-05 19:52:39, 26.429, 8.433, 251.8, 6.35,87.8, 53381,35.24,
2018-06-05 19:52:48, 26.428, 8.437, 251.8, 6.35,87.7, 53351,35.21,
2018-06-05 19:52:57, 26.427, 8.437, 251.8, 6.36,87.9, 53431,35.27,
2018-06-05 19:53:06, 26.427, 8.434, 251.8, 6.34,87.7, 53391,35.24,
2018-06-05 19:53:15, 26.428, 8.432, 251.9, 6.34,87.7, 53361,35.22,
